,ind,point,mode,indiv,trial,viscosity,speed,peakfreq,wavelength,wavelength2,windingnum,traveling,modereal,modeimag
0,1,1,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.11987065917919881,-1.686143257248914e-17
1,1,1,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,-0.3372055807422971,0.0
2,1,1,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,0.38127695398472883,-1.1634388475017507e-15
3,1,2,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.1160213688661425,0.007479586603793615
4,1,2,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,-0.24706520281042363,0.02193863522885182
5,1,2,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,0.11209268202962425,0.05488734690046225
6,1,3,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.10109720781000144,0.01819749899150729
7,1,3,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,-0.15729427694834003,0.06268720801877088
8,1,3,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,0.001654853402975877,0.00912261851665142
9,1,4,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.09143769924119025,0.014255136972537519
10,1,4,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,-0.08461696238326441,0.0699000218029405
11,1,4,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.14658622242366667,-0.05251642916790755
12,1,5,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.07555858561855251,0.03135618137783605
13,1,5,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.08689654706877645,0.11315896253331768
14,1,5,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.12214913314793105,0.009009677624092355
15,1,6,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.05250722124392686,0.06930460468885827
16,1,6,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.22927227132713288,0.07729909615516102
17,1,6,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.16763552023566644,0.10549783311911998
18,1,7,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,-0.0036020091436673543,0.11533995274631231
19,1,7,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.2677424415078706,-0.05253902024173903
20,1,7,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.2394766363843002,0.18491865412607764
21,1,8,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,0.07945701352184856,0.13058508563640475
22,1,8,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.24670906472759782,-0.15876697452323826
23,1,8,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.22911659873219586,0.16138852335095183
24,1,9,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,0.1743011177582345,0.09579362281603748
25,1,9,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.20273954152174803,-0.20573825418910463
26,1,9,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,-0.08991605577559747,0.0058606424351462134
27,1,10,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,0.2512443482560638,0.01833857240777695
28,1,10,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.13227001516730635,-0.1996316829622525
29,1,10,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,0.056380871537944584,-0.18895534790381388
30,1,11,1,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.7295386164165403,0.2793116103631282,-0.08111462253144054
31,1,11,2,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.6469183494865254,0.05181865641316421,-0.1474871978147692
32,1,11,3,5,1,1.0,216.63154654307738,1.25,115.32581906245868,125.04877893039861,1.2433949603962229,0.9882578707766352,0.012761540306207443,-0.2947887874694048
