,point,mode,modereal,modeimag,viscosity,trial,wavelength,windingnum,traveling
0,0,1,-0.01225282345948353,-3.3457801416544863e-18,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
1,0,2,-0.04821066315456911,5.589604300249018e-15,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
2,0,3,-0.09072462517998774,5.82862209018431e-14,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
3,1,1,-0.011642722613134936,-0.0004264681858429986,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
4,1,2,-0.04678028280695479,0.00039863960456235824,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
5,1,3,-0.08950970878901582,0.0004489882953244809,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
6,2,1,-0.011032815823300117,-0.0008530164026297912,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
7,2,2,-0.045348919649202325,0.0007961688789086833,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
8,2,3,-0.08829533400203537,0.0008983691862344485,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
9,3,1,-0.010423003903806929,-0.001279640784350411,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
10,3,2,-0.04391674370739903,0.0011931061084690206,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
11,3,3,-0.08708147151199502,0.0013479363302072419,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
12,4,1,-0.009813184062665282,-0.0017062582668119508,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
13,4,2,-0.042483940730896105,0.0015902395111533488,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
14,4,3,-0.08586810539728355,0.0017971486296194323,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
15,5,1,-0.009203318824723786,-0.0021328245725293505,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
16,5,2,-0.041050528961221126,0.001987928667045662,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
17,5,3,-0.08465595575366931,0.002245856955219934,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
18,6,1,-0.008593450558211984,-0.0025593807893308576,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
19,6,2,-0.03961627213516158,0.002385865823567624,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
20,6,3,-0.08344493587250582,0.0026941566198752536,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
21,7,1,-0.007983645161966339,-0.002985988367486644,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
22,7,2,-0.03818097402699571,0.0027836054260045274,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
23,7,3,-0.08223420273476857,0.003142433119129527,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
24,8,1,-0.007373904888879768,-0.003412645813186225,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
25,8,2,-0.03674471066398431,0.0031812065873884393,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
26,8,3,-0.08102370736570634,0.003590676406251045,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
27,9,1,-0.006764165736999277,-0.0038392931837155694,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
28,9,2,-0.035307616367399416,0.0035791652337674638,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
29,9,3,-0.0798142758072801,0.0040385582425024125,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
30,10,1,-0.006154381596471131,-0.004265894659470633,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
31,10,2,-0.03386973749695988,0.003977782526669979,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
32,10,3,-0.07860635472350228,0.004485962507287384,10,sim10x,7.805074444403995,1.711372019403978,0.5120734268696245
33,11,1,-0.005544587751704213,-0.0046924738763876785,10,sim10x,7.805074444403995,1.711372019403978,0.7782229336223682
34,11,2,-0.03243101818278969,0.004376829202573659,10,sim10x,7.805074444403995,1.711372019403978,0.906700099513805
