,point,mode,modereal,modeimag,viscosity,trial,wavelength,windingnum,traveling
21,7,1,-0.04980982397186004,0.004254640519739123,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
22,7,2,-0.06797461868407739,-0.002312062281247278,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
23,7,3,-0.05433602734196513,0.004688473603848809,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
24,8,1,-0.04920761205329111,0.004862557136700059,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
25,8,2,-0.06696240711912074,-0.002674618117561704,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
26,8,3,-0.05289027049073695,0.00536696308082108,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
27,9,1,-0.04860551466938442,0.005470614453413753,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
28,9,2,-0.06595689392011461,-0.0030638382295698928,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
29,9,3,-0.05143918271986275,0.0060521069180173,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
30,10,1,-0.04800361626709178,0.006078861723739603,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
31,10,2,-0.06495664424802294,-0.003470281395007739,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
32,10,3,-0.04998679689852491,0.006740251165356049,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
33,11,1,-0.04740176723101135,0.006687087604640242,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
34,11,2,-0.06395148261998616,-0.0038572283648127554,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
35,11,3,-0.04853781169732596,0.007421663415621205,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
36,12,1,-0.04679995704620976,0.007295364613746209,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
37,12,2,-0.06294976312214982,-0.004258606374848005,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
38,12,3,-0.047084049795126724,0.008108388075750669,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
39,13,1,-0.04619811932336437,0.00790360178667343,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
40,13,2,-0.06194759325215489,-0.004659228236522357,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
41,13,3,-0.04562711051569754,0.008797703749926375,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
42,14,1,-0.045596374586190674,0.008511883094396665,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
43,14,2,-0.060945956116091396,-0.00506022037237653,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
44,14,3,-0.044170057085168066,0.009487762696422894,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
45,15,1,-0.04499482920077964,0.009120252296049758,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
46,15,2,-0.059944559295961854,-0.005459575213045776,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
47,15,3,-0.042714872722182114,0.010175661720614201,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
48,16,1,-0.044393432333842575,0.009728691236132531,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
49,16,2,-0.058943832422042694,-0.005860151968639677,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
50,16,3,-0.04126019700847238,0.01086413372004885,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
51,17,1,-0.04379207060488553,0.010337133782466427,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
52,17,2,-0.05794279195590211,-0.006259795281098775,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
53,17,3,-0.03980501005875651,0.011554828054150966,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
54,18,1,-0.04319078251081962,0.01094557955644783,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
55,18,2,-0.05694165312723119,-0.006658958702767629,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
56,18,3,-0.03834924373430569,0.012246896642498561,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
57,19,1,-0.042589687041018134,0.01155407853080811,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
58,19,2,-0.055940860854585585,-0.007058246205685513,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
59,19,3,-0.03689435971998651,0.012938929183029876,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
60,20,1,-0.04198832267182759,0.012162684453104207,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
61,20,2,-0.05493970366150612,-0.007457700698657984,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
62,20,3,-0.03543804259991748,0.013629987318752375,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
63,21,1,-0.04138677584349702,0.01277133655540615,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
64,21,2,-0.05393839289872363,-0.007857436369101594,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
65,21,3,-0.03398024659916002,0.014320618300832111,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
66,22,1,-0.04078553883559785,0.013379951931183033,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
67,22,2,-0.052937109330291866,-0.008256899109490352,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
68,22,3,-0.0325229799776356,0.015012082819654153,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
69,23,1,-0.04018464889951434,0.013988502096188018,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
70,23,2,-0.051935775062543404,-0.008655940552415612,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
71,23,3,-0.03106624394695055,0.015704216469415742,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
72,24,1,-0.0395841977799796,0.014597002978032052,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
73,24,2,-0.05093507436986872,-0.00905488708725958,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
74,24,3,-0.02961149331587592,0.0163958214830835,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
75,25,1,-0.038984255116761034,0.015205447753149642,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
76,25,2,-0.0499351110315878,-0.00945377766253336,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
77,25,3,-0.028159364700184323,0.017086403437672752,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
78,26,1,-0.03838480431801391,0.01581378360591342,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
79,26,2,-0.048935848547323045,-0.009852310696023289,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
80,26,3,-0.02670910549481644,0.017777267215325847,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
81,27,1,-0.037785828983977164,0.016421964295193568,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
82,27,2,-0.04793749864490687,-0.010250432943897178,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
83,27,3,-0.025260514022749953,0.01846933774521832,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
84,28,1,-0.03718738622841565,0.017029984394074247,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
85,28,2,-0.046940198564204616,-0.010648302516121332,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
86,28,3,-0.023814517955618043,0.019162047733001477,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
87,29,1,-0.036589534795336574,0.017637842469262702,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
88,29,2,-0.04594418947560951,-0.011045879095566986,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
89,29,3,-0.022372198274838915,0.019854993273150504,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
90,30,1,-0.03599229873089508,0.018245523012702304,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
91,30,2,-0.044949758083445986,-0.011443213318265151,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
92,30,3,-0.020934278592294596,0.020548413141142124,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
93,31,1,-0.03539569948536053,0.018852988983396986,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
94,31,2,-0.04395684697422701,-0.01184038936810826,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
95,31,3,-0.01950053191764264,0.02124239277584061,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
96,32,1,-0.034799771936892765,0.019460200995209995,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
97,32,2,-0.04296533650929468,-0.012237422876597051,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
